order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ord_000000,1,prod_00658,sell_0139,2018-10-18 18:44:00,115.3,19.73
ord_000000,2,prod_00707,sell_0165,2018-10-19 18:44:00,75.39,4.15
ord_000001,1,prod_00063,sell_0188,2018-09-03 15:38:00,94.17,18.35
ord_000001,2,prod_00154,sell_0051,2018-09-03 15:38:00,20.08,3.52
ord_000002,1,prod_00415,sell_0215,2018-06-02 16:41:00,138.35,27.24
ord_000003,1,prod_00334,sell_0051,2018-02-21 14:39:00,75.03,5.77
ord_000004,1,prod_00018,sell_0002,2018-09-12 17:38:00,48.77,10.74
ord_000005,1,prod_00761,sell_0222,2018-09-02 21:20:00,69.18,14.07
ord_000006,1,prod_00191,sell_0241,2017-06-26 21:01:00,63.88,9.86
ord_000007,1,prod_00424,sell_0099,2018-10-01 15:26:00,60.31,6.84
ord_000008,1,prod_00789,sell_0240,2017-04-21 21:02:00,44.37,5.67
ord_000009,1,prod_00652,sell_0183,2018-04-05 11:28:00,114.27,20.91
ord_000010,1,prod_00482,sell_0211,2018-07-06 20:27:00,47.33,6.22
ord_000011,1,prod_00586,sell_0035,2018-10-14 17:10:00,44.76,10.52
ord_000012,1,prod_00449,sell_0098,2018-03-09 22:47:00,88.66,14.72
ord_000013,1,prod_00077,sell_0144,2017-09-28 08:42:00,78.47,15.08
ord_000014,1,prod_00044,sell_0037,2018-03-26 09:33:00,13.8,1.77
ord_000015,1,prod_00793,sell_0091,2017-10-10 18:55:00,177.72,29.96
ord_000016,1,prod_00577,sell_0145,2018-04-26 09:17:00,54.97,7.51
ord_000016,2,prod_00159,sell_0184,2018-04-24 09:17:00,42.46,6.45
ord_000017,1,prod_00248,sell_0246,2018-03-09 18:15:00,53.11,9.52
ord_000018,1,prod_00310,sell_0096,2018-09-24 18:11:00,30.61,6.0
ord_000019,1,prod_00160,sell_0187,2017-10-03 10:32:00,96.74,13.68
ord_000020,1,prod_00574,sell_0021,2017-08-25 18:12:00,158.01,20.42
ord_000021,1,prod_00772,sell_0111,2018-03-19 21:52:00,56.47,5.42
ord_000021,2,prod_00470,sell_0174,2018-03-15 21:52:00,58.43,13.61
ord_000022,1,prod_00140,sell_0023,2017-03-14 09:18:00,118.7,24.23
ord_000023,1,prod_00052,sell_0173,2017-09-23 16:29:00,21.48,3.43
ord_000024,1,prod_00167,sell_0139,2017-12-18 11:31:00,161.32,38.24
ord_000025,1,prod_00737,sell_0191,2018-03-27 22:18:00,60.87,5.24
ord_000026,1,prod_00255,sell_0063,2017-10-24 11:44:00,80.51,13.87
ord_000026,2,prod_00718,sell_0213,2017-10-28 11:44:00,50.26,3.29
ord_000026,3,prod_00783,sell_0136,2017-10-26 11:44:00,59.95,14.91
ord_000027,1,prod_00738,sell_0142,2018-05-15 16:41:00,35.09,8.6
ord_000028,1,prod_00421,sell_0116,2018-11-18 17:45:00,116.57,14.89
ord_000029,1,prod_00375,sell_0145,2018-05-04 18:36:00,224.48,25.4
ord_000030,1,prod_00151,sell_0114,2017-11-07 14:27:00,130.86,8.67
ord_000030,2,prod_00042,sell_0105,2017-11-10 14:27:00,131.56,9.82
ord_000031,1,prod_00263,sell_0105,2017-04-02 11:26:00,46.44,5.41
ord_000032,1,prod_00239,sell_0035,2017-06-23 17:42:00,78.57,13.39
ord_000032,2,prod_00631,sell_0193,2017-06-25 17:42:00,170.22,30.99
ord_000033,1,prod_00282,sell_0029,2018-05-13 19:22:00,130.6,25.01
ord_000033,2,prod_00033,sell_0242,2018-05-12 19:22:00,90.07,9.4
ord_000034,1,prod_00189,sell_0101,2018-07-28 18:26:00,31.41,2.97
ord_000035,1,prod_00213,sell_0028,2017-03-15 13:09:00,50.97,8.09
ord_000035,2,prod_00264,sell_0000,2017-03-14 13:09:00,136.07,31.25
ord_000036,1,prod_00013,sell_0150,2017-08-10 11:40:00,100.39,22.9
ord_000037,1,prod_00500,sell_0186,2017-11-26 11:04:00,191.6,12.55
ord_000037,2,prod_00610,sell_0072,2017-11-26 11:04:00,172.82,42.96
ord_000038,1,prod_00545,sell_0213,2017-11-30 12:59:00,31.94,1.74
ord_000038,2,prod_00147,sell_0151,2017-11-26 12:59:00,99.76,21.48
ord_000039,1,prod_00644,sell_0010,2018-12-14 10:08:00,59.73,6.04
ord_000040,1,prod_00210,sell_0044,2017-08-28 14:22:00,149.75,28.96
ord_000041,1,prod_00530,sell_0246,2017-03-29 21:14:00,94.5,13.49
ord_000042,1,prod_00459,sell_0001,2017-12-19 14:17:00,76.22,10.12
ord_000042,2,prod_00426,sell_0105,2017-12-16 14:17:00,83.03,12.9
ord_000043,1,prod_00386,sell_0141,2017-06-22 11:19:00,39.84,2.63
ord_000044,1,prod_00312,sell_0146,2017-06-11 11:43:00,238.38,32.6
ord_000044,2,prod_00793,sell_0048,2017-06-15 11:43:00,48.99,6.51
ord_000045,1,prod_00053,sell_0194,2018-01-27 19:10:00,23.15,3.5
ord_000046,1,prod_00153,sell_0145,2017-11-27 15:15:00,71.53,7.33
ord_000047,1,prod_00075,sell_0108,2017-05-07 21:06:00,172.91,33.95
ord_000048,1,prod_00085,sell_0022,2018-06-09 14:19:00,26.64,2.78
ord_000049,1,prod_00325,sell_0121,2018-04-08 13:56:00,298.8,34.94
ord_000050,1,prod_00743,sell_0116,2017-04-18 16:22:00,61.25,9.6
ord_000051,1,prod_00616,sell_0151,2018-11-09 20:46:00,42.51,7.01
ord_000052,1,prod_00330,sell_0046,2017-11-07 10:27:00,162.81,35.31
ord_000053,1,prod_00267,sell_0215,2018-12-18 14:26:00,253.1,30.35
ord_000054,1,prod_00582,sell_0117,2018-11-30 13:49:00,116.7,6.61
ord_000055,1,prod_00615,sell_0120,2018-02-19 22:01:00,132.26,24.46
ord_000056,1,prod_00074,sell_0188,2017-09-20 20:51:00,84.18,13.19
ord_000057,1,prod_00095,sell_0101,2018-10-22 13:29:00,43.56,10.32
ord_000058,1,prod_00343,sell_0138,2017-12-25 09:21:00,144.69,27.79
ord_000059,1,prod_00508,sell_0094,2017-07-18 11:54:00,67.36,10.74
ord_000060,1,prod_00798,sell_0063,2018-05-09 09:20:00,80.6,7.33
ord_000061,1,prod_00142,sell_0163,2018-03-27 15:58:00,44.79,7.18
ord_000062,1,prod_00060,sell_0234,2018-11-02 20:56:00,130.67,14.12
ord_000063,1,prod_00455,sell_0169,2018-08-28 12:16:00,49.95,6.1
ord_000064,1,prod_00082,sell_0212,2018-11-17 16:20:00,79.42,7.71
ord_000065,1,prod_00047,sell_0191,2018-08-31 08:48:00,28.13,1.86
ord_000065,2,prod_00766,sell_0209,2018-08-28 08:48:00,74.21,6.8
ord_000066,1,prod_00093,sell_0036,2018-07-03 09:11:00,47.45,9.54
ord_000066,2,prod_00303,sell_0165,2018-07-06 09:11:00,170.9,16.28
ord_000067,1,prod_00777,sell_0235,2018-04-05 22:43:00,50.11,12.01
ord_000067,2,prod_00090,sell_0087,2018-04-06 22:43:00,214.71,29.07
ord_000068,1,prod_00538,sell_0102,2018-12-29 17:07:00,24.22,5.09
ord_000069,1,prod_00525,sell_0197,2018-12-16 11:12:00,12.99,2.45
ord_000070,1,prod_00420,sell_0191,2018-11-02 17:30:00,97.89,21.89
ord_000070,2,prod_00733,sell_0244,2018-10-29 17:30:00,93.71,16.69
ord_000071,1,prod_00310,sell_0145,2018-09-18 13:44:00,15.74,3.07
ord_000072,1,prod_00555,sell_0248,2018-05-24 19:44:00,139.62,12.91
ord_000073,1,prod_00700,sell_0133,2017-10-19 09:36:00,44.45,6.32
ord_000074,1,prod_00303,sell_0025,2018-11-15 11:16:00,114.93,6.11
ord_000075,1,prod_00738,sell_0133,2017-01-24 22:24:00,89.24,12.68
ord_000076,1,prod_00714,sell_0036,2017-09-21 19:14:00,47.86,3.66
ord_000077,1,prod_00218,sell_0027,2018-01-24 22:16:00,81.51,5.99
ord_000077,2,prod_00078,sell_0018,2018-01-24 22:16:00,53.25,4.32
ord_000078,1,prod_00372,sell_0104,2018-05-28 10:19:00,76.41,7.7
ord_000079,1,prod_00714,sell_0211,2018-05-13 10:35:00,105.77,24.63
ord_000080,1,prod_00156,sell_0129,2017-08-04 10:12:00,32.13,3.42
ord_000081,1,prod_00614,sell_0112,2017-05-19 18:02:00,36.76,4.37
ord_000082,1,prod_00633,sell_0171,2017-09-16 14:41:00,50.31,9.72
ord_000083,1,prod_00247,sell_0020,2017-12-13 14:01:00,94.96,23.67
ord_000083,2,prod_00593,sell_0146,2017-12-17 14:01:00,34.41,5.99
ord_000084,1,prod_00623,sell_0066,2017-01-24 10:58:00,47.88,10.8
ord_000085,1,prod_00251,sell_0054,2018-08-06 19:21:00,48.14,5.37
ord_000086,1,prod_00103,sell_0090,2017-10-05 21:00:00,133.08,23.02
ord_000087,1,prod_00516,sell_0181,2017-12-19 08:53:00,53.83,12.77
ord_000088,1,prod_00138,sell_0029,2017-12-04 18:35:00,94.87,15.31
ord_000089,1,prod_00515,sell_0218,2018-04-11 13:49:00,63.77,14.81
ord_000090,1,prod_00128,sell_0152,2018-11-09 17:26:00,20.9,1.93
ord_000091,1,prod_00241,sell_0172,2017-07-09 13:21:00,114.43,28.24
ord_000092,1,prod_00232,sell_0239,2017-12-07 16:39:00,63.54,12.22
ord_000093,1,prod_00729,sell_0073,2018-08-01 20:24:00,93.53,19.71
ord_000094,1,prod_00776,sell_0171,2017-03-11 11:33:00,88.91,10.08
ord_000095,1,prod_00306,sell_0199,2018-10-23 16:16:00,72.32,7.26
ord_000095,2,prod_00266,sell_0207,2018-10-23 16:16:00,169.78,39.2
ord_000096,1,prod_00767,sell_0030,2018-12-15 09:19:00,70.42,11.1
ord_000097,1,prod_00060,sell_0134,2018-06-13 09:04:00,123.86,6.35
