customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
cust_000000,uniq_001578,45150,londrina,PR
cust_000001,uniq_002114,2866,niteroi,RJ
cust_000002,uniq_001632,67639,salvador,BA
cust_000003,uniq_001514,46046,porto alegre,RS
cust_000004,uniq_001191,77383,santos,SP
cust_000005,uniq_000624,62188,sao luis,MA
cust_000006,uniq_000715,78937,londrina,PR
cust_000007,uniq_001901,46578,joinville,SC
cust_000008,uniq_000178,1785,sao paulo,SP
cust_000009,uniq_000215,13933,niteroi,RJ
cust_000010,uniq_001011,46430,sao paulo,SP
cust_000011,uniq_001974,40349,recife,PE
cust_000012,uniq_001675,79641,uberlandia,MG
cust_000013,uniq_001504,41753,feira de santana,BA
cust_000014,uniq_001362,86157,niteroi,RJ
cust_000015,uniq_000282,19583,sorocaba,SP
cust_000016,uniq_000846,39102,juiz de fora,MG
cust_000017,uniq_000202,75873,campinas,SP
cust_000018,uniq_001933,13285,feira de santana,BA
cust_000019,uniq_001914,32818,belo horizonte,MG
cust_000020,uniq_000658,75433,maringa,PR
cust_000021,uniq_000746,59309,campinas,SP
cust_000022,uniq_000809,78028,sao luis,MA
cust_000023,uniq_002267,52056,aparecida de goiania,GO
cust_000024,uniq_001245,86059,maringa,PR
cust_000025,uniq_001943,87864,ribeirao preto,SP
cust_000026,uniq_001144,97480,duque de caxias,RJ
cust_000027,uniq_001780,13079,sao paulo,SP
cust_000028,uniq_001347,59527,sao paulo,SP
cust_000029,uniq_000710,12311,caxias do sul,RS
cust_000030,uniq_002234,23660,londrina,PR
cust_000031,uniq_001807,30731,belem,PA
cust_000032,uniq_001961,64967,ribeirao preto,SP
cust_000033,uniq_002417,43689,sao paulo,SP
cust_000034,uniq_000634,86608,duque de caxias,RJ
cust_000035,uniq_000233,30555,sao paulo,SP
cust_000036,uniq_001484,62105,santos,SP
cust_000037,uniq_000831,76554,duque de caxias,RJ
cust_000038,uniq_001111,98049,santos,SP
cust_000039,uniq_000598,25281,contagem,MG
cust_000040,uniq_001016,73626,duque de caxias,RJ
cust_000041,uniq_001002,9392,feira de santana,BA
cust_000042,uniq_000893,54799,caxias do sul,RS
cust_000043,uniq_001892,41965,sorocaba,SP
cust_000044,uniq_001511,95895,feira de santana,BA
cust_000045,uniq_001209,77563,blumenau,SC
cust_000046,uniq_000287,92796,ribeirao preto,SP
cust_000047,uniq_001455,85204,sao paulo,SP
cust_000048,uniq_000446,41655,caxias do sul,RS
cust_000049,uniq_000801,73600,sorocaba,SP
cust_000050,uniq_001058,4016,sao paulo,SP
cust_000051,uniq_000360,56230,sorocaba,SP
cust_000052,uniq_000993,5682,florianopolis,SC
cust_000053,uniq_000680,72694,juiz de fora,MG
cust_000054,uniq_002166,96704,pelotas,RS
cust_000055,uniq_002192,68456,florianopolis,SC
cust_000056,uniq_000011,84152,duque de caxias,RJ
cust_000057,uniq_001536,24202,belo horizonte,MG
cust_000058,uniq_001633,99395,santos,SP
cust_000059,uniq_000963,55524,sorocaba,SP
cust_000060,uniq_001196,67769,belo horizonte,MG
cust_000061,uniq_002014,77289,rio de janeiro,RJ
cust_000062,uniq_000963,64319,uberlandia,MG
cust_000063,uniq_000164,32394,londrina,PR
cust_000064,uniq_000949,61530,belo horizonte,MG
cust_000065,uniq_000647,65742,uberlandia,MG
cust_000066,uniq_000975,85875,uberlandia,MG
cust_000067,uniq_000586,48666,sao paulo,SP
cust_000068,uniq_000382,50677,campinas,SP
cust_000069,uniq_002512,50812,rio de janeiro,RJ
cust_000070,uniq_000328,12327,sorocaba,SP
cust_000071,uniq_001800,9915,sorocaba,SP
cust_000072,uniq_001829,3022,salvador,BA
cust_000073,uniq_001575,66954,sorocaba,SP
cust_000074,uniq_002324,42466,santos,SP
cust_000075,uniq_000012,86702,sorocaba,SP
cust_000076,uniq_000769,70520,sao paulo,SP
cust_000077,uniq_000469,15001,uberlandia,MG
cust_000078,uniq_001471,10907,contagem,MG
cust_000079,uniq_001620,37244,florianopolis,SC
cust_000080,uniq_002289,92172,juiz de fora,MG
cust_000081,uniq_000968,5818,santos,SP
cust_000082,uniq_000601,19552,joinville,SC
cust_000083,uniq_002356,3933,santos,SP
cust_000084,uniq_001716,41952,ribeirao preto,SP
cust_000085,uniq_001950,98975,sao paulo,SP
cust_000086,uniq_001134,68687,pelotas,RS
cust_000087,uniq_001140,49853,duque de caxias,RJ
cust_000088,uniq_000992,15295,sorocaba,SP
cust_000089,uniq_001911,36196,duque de caxias,RJ
cust_000090,uniq_000537,52929,ribeirao preto,SP
cust_000091,uniq_002487,28212,caxias do sul,RS
cust_000092,uniq_000448,70800,niteroi,RJ
